lei;ementa;ano;inteiro_teor
"4.318, de 23.12.63
Publicada no DOU de 14.1.64";Orça a Receita e fixa a Despesa do Distrito Federal para o exercício de 1964.;63;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI Nº 4.318, DE 23 DE DEZEMBRO DE 1963.


Vigência

Orça a Receita e fixa a Despesa 
	do Distrito Federal para o exercício de 1964. 



O PRESIDENTE DA REPÚBLICA, Faço saber que o
CONGRESSO NACIONAL decreta e eu sanciono a seguinte Lei: 


Art. 1º A Receita do Distrito Federal para o 
exercício de 1964 é orçada em Cr$ 47.058.933.000,00 (quarenta e sete bilhões, 
cinqüenta e oito milhões, novecentos e noventa e três mil cruzeiros) de acôrdo 
com a especificação abaixo e quadros anexos: 

RECEITAS CORRENTES

Renda Tributária                                                                                                                  
Cr$ 

Impostos 
.........................................................................................................1.251.500.000,00

Taxas 
................................................................................................................103.110.000,00


Contribuição de Melhoria 
.............................................................................................10.000,00


Renda Patrimonial 
................................................................................................15.220.000,00


Renda Industrial 
...................................................................................................11.500.000,00


Transferências Correntes 
................................................................................23.067.033.000,00


Rendas Diversas 
................................................................................................110.600.000,00


Total das Receitas Correntes 
..........................................................................24.558.973.000,00


RECEITAS DE CAPITAL 

Operações de Crédito 
.........................................................................................500.000.000,00


Alienação de Bens Móveis e Imóveis 
............................................................................20.000,00


Transferências de Capital 
................................................................................22.000.000.000,00


Total da Receita de Capital 
...............................................................................2.500.020.000,00


Total Geral da Receita 
....................................................................................47.058.993.000,00



Art. 2º A Despesa do Distrito Federal é fixada em 
Cr$ 47.058.993.000,00 (quarenta e sete bilhões, cinqüenta e oito milhões, 
novecentos e noventa e três mil cruzeiros) - distribuída pelas unidades 
administrativas abaixo especificadas e discriminadas em anexo: 

                                                                                                                                        
Cr$ 

Gabinete do Prefeito 
...........................................................................................45.352.000,00


Comissão de Inventivo à Iniciativa Privada 
.............................................................88.782.000,00


Conselho de Planejamento 
...................................................................................3.180.000,00


Assessoria de Planejamento 
...............................................................................46.602.000,00


Consultoria Jurídica 
..............................................................................................1.906.000,00


Procuradoria Geral 
...............................................................................................6.493.000,00


Secretaria Geral de Administração 
.................................................................12.417.906.000,00


Secretaria Geral de Saúde 
..............................................................................2.675.094.000,00


Superintendência Geral de Agricultura 
..............................................................2.934.648.000,00

 Superintendência Geral de Assistência e 
Serviço Social .....................................997.800.000,00 

Superintendência Geral de Economia 
.................................................................997.735.000,00


Superintendência Geral de Educação e Cultura 
................................................2.109.529.000,00 

Superintendência Geral da Fazenda 
...............................................................22.753.888.000,00


Superintendência Geral de Segurança e Interior 
................................................1.064.931.000,00 

Departamento de Estradas de Rodagem 
.............................................................713.380.000,00


Departamento de Turismo e Recreação 
................................................................47.135.000,00


Tribunal de Contas 
............................................................................................175.232.000,00


Total da Despesa 
.........................................................................................47.058.993.000,00



Art. 3º Fazem parte integrante da presente lei os 
anexos que acompanham, especificando a Receita e discriminando as Despesas.



Art. 4º Fica o Prefeito expressamente autorizado a:


I - realizar operações de crédito por antecipação da 
Receita até o limite de Cr$ 500.000.000,00 (quinhentos milhões de cruzeiros);

II - abrir os créditos suplementares e especiais que 
se fizerem necessários até 20% (vinte por cento) da Receita Tributária orçada, 
mediante Decreto e de acôrdo com o disposto no

Decreto-lei Federal número 2.416, de 17 de julho de 1940; 

III - firmar com a União convênio para a 
administração e cobrança dos tributos previstos na presente lei. 


Art. 5º A Receita a que se refere a presente lei 
será arrecadada de acôrdo com a Lei 4.191, de 24 de dezembro 
de 1962 (Código Tributário do Distrito Federal). 


Art. 6º Esta lei entrará em vigor 
em 1º de janeiro de 1964, revogadas as disposições em contrário. 

Brasília, 23 de dezembro de 1963; 132º da 
Independência e 75 da República. 

JOÃO GOULART
Este texto não substitui o publicado no
DOU de 14.1.1964, 

retificado em 13.1.1963 
e retificado em 31.1.1963
 Download para 
anexo
*
 
 
 
 
 
 
 
"
"4.317, de 23.12.63
Publicada no DOU de 14.1.64";Autoriza o Poder Executivo a abrir, pelo Ministério da Agricultura, crédito especial de Cr$ 125.000.000,00 (centro e vinte e cinco milhões de cruzeiros) a fim de atender aos agricultores e entidades dos municípios atingidos por violento temporal e chuva de granizo, no Rio Grande do Sul.;63;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI Nº 4.317, DE 23 DE DEZEMBRO DE 1963.




Autoriza o 
Poder Executivo a abrir, pelo Ministério da Agricultura, crédito especial de 
Cr$ 125.000.000,00 (centro e vinte e cinco milhões de cruzeiros) a fim de atender 
aos agricultores e entidades dos municípios atingidos por violento temporal e 
chuva de granizo, no Rio Grande do Sul.



O PRESIDENTE DA 
REPÚBLICA, 
faço saber que o CONGRESSO NACIONAL decreta e eu sanciono a seguinte Lei:



Art. 
1º É o Poder Executivo autorizado a abrir, pelo Ministério da Agricultura, o 
crédito especial de Cr$ 125.000.000,00 (cento e vinte cinco milhões de cruzeiros) 
durante três exercícios financeiros consecutivos, a fim de atender aos 
agricultores e entidades dos municípios atingidos, por violento temporal e chuva 
de granizo nos últimos dias do mês de dezembro de 1961, no Estado do Rio Grande 
do Sul.



Art. 
2º O crédito de que trata esta lei será automàticamente registrado pelo Tribunal 
de Contas da União e distribuído pelo Tesouro Nacional ao Banco do Brasil, à 
disposição das Prefeituras Municipais a seguir especificadas, obedecida a 
seguinte proporção.





 


Cr$





		Farroupilha...............................



		25.000.000,00





		Garibaldi...................................



		20.000.000,00




Bento 
		Gonçalves.......................



		15.000.000,00




Carlos 
		Barbosa.........................



		15.000.000,00





		Mussum...................................



		10.000.000,00




Antônio 
		Prado...........................



		10.000.000,00




Caxias do 
		Sul...........................



		7.000.000,00





		Lajeado....................................



		5.000.000,00





		Viadutos...................................



		5.000.000,00




São 
		Jerônimo............................



		5.000.000,00




Nova 
		Prata................................



		2.000.000,00





		Veranópolis..............................



		2.000.000,00





		Encantado................................



		2.000.000,00





		Guaporé...................................



		2.000.000,00






Art. 
3º O crédito aberto por esta lei será utilizado no pagamento de indenização às 
pessoas e entidades atingidas pelo temporal, na proporção do auxílio global 
recebido pelo município, mediante levantamento dos prejuízos, que será 
procedido, obrigatòriamente, por comissão composta, no mínimo de uma autoridade 
federal, um representante do Prefeito e um membro de entidade representativa da 
agricultura, da indústria ou do comércio local.

Parágrafo único. 
Os pagamentos das indenizações a que se refere êste artigo ficarão a cargo das 
Prefeituras Municipais que prestarão contas, posteriormente, ao Tribunal de 
Contas da União, através da Divisão do Orçamento do Ministério da Agricultura, 
do auxílio recebido.



Art. 
4º Esta lei entrará em vigor na data de sua publicação, revogadas as disposições 
em contrário.

Brasília, em 23 
de dezembro de 1963; 142º da Independência e 75º da República.

João Goulart

Ney Galvão

Oswaldo Lima 
Filho
Este texto não substitui o publicado no
DOU de 14.1.1964
*
 
 
 
 
 
 
"
"4.316, de 23.12.63
Publicada no DOU de 10.1.64";Autoriza o Poder Executivo a abrir o crédito especial de Cr$ 600.000.000,00 (seiscentos milhões de cruzeiros), em favor do Estado da Guanabara, destinado aos festejos comemorativos do quadricentenário da Cidade do Rio de Janeiro, a realizar-se em 1965.;63;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI Nº 4.316, DE 23 DE DEZEMBRO DE 1963.




Autoriza o 
Poder Executivo a abrir o crédito especial de Cr$ 600.000.000,00 (seiscentos 
milhões de cruzeiros), em favor do Estado da Guanabara, destinado aos festejos 
comemorativos do quadricentenário da Cidade do Rio de Janeiro, a realizar-se em 
1965.



O PRESIDENTE DA 
REPÚBLICA, 
faço saber que o CONGRESSO NACIONAL decreta e eu sanciono a seguinte Lei:



Art. 
1º É o Poder Executivo autorizado a abrir o crédito especial de 
Cr$ 600.000.000,00 (seiscentos milhões de cruzeiros), em favor do Estado da 
Guanabara, destinado a auxiliar os festejos comemorativos do quadricentenário da 
Cidade do Rio de Janeiro em 1965.



Art. 
2º O referido crédito será empregado na organização das solenidades cívicas e 
culturais, congressos, impressão de obras alusivas à efeméride, destinando-se 
parte às obras públicas indispensáveis.



Art. 
3º Fica o Govêrno da Guanabara com o encargo de organizar caravanas de 
estudantes, dos diversos Estados e Territórios, a fim de que participem das 
comemorações cívicas em estímulo aos sentimentos de brasilidade.



Art. 
4º Ao Estado da Guanabara, também, a montagem de uma peça teatral, em praça 
pública, que relembrará os principais fatos patrióticos ocorrido durante os 
duzentos anos em que foi Capital do País.



Art. 
5º Esta Lei entrará em vigor na data de sua publicação, revogadas as disposições 
em contrário.

Brasília, 23 de 
dezembro de 1963; 142º da Independência e 75º da República.

João Goulart

Ney Galvão
Este texto não substitui o publicado no
DOU de 10.1.1964
*
 
 
 
 
 
 
"
"4.315, de 23.12.63
Publicada no DOU de 10.1.64";Isenta dos impostos de importação e de consumo material importado pela Companhia Telefônica de Minas Gerais.;63;"
"
"4.314, de 23.12.63
Publicada no DOU de 10.1.64";Autoriza o Poder Executivo a abrir, pelo Ministério da Fazenda, o crédito especial de Cr$  200.000.000,00 (duzentos milhões de cruzeiros), a fim de atender às populações do Médio Superior de São Francisco, no Estado de Minas Gerais, atingidas por inundações.;63;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI Nº 4.314, DE 23 DE DEZEMBRO DE 1963.




Autoriza o 
Poder Executivo a abrir, pelo Ministério da Fazenda, o crédito especial de 
Cr$ 200.000.000,00 (duzentos milhões de cruzeiros), a fim de atender às 
populações do Médio Superior de São Francisco, no Estado de Minas Gerais, 
atingidas por inundações.



O PRESIDENTE DA 
REPÚBLICA, 
faço saber que o CONGRESSO NACIONAL decreta e eu sanciono a seguinte Lei:



Art. 
1º É o Poder Executivo autorizado a abrir, pelo Ministério da Fazenda, o crédito 
especial de Cr$ 200.000.000,00 (duzentos milhões de cruzeiros), a fim de socorrer 
as populações do Médio Superior do São Francisco, atingidas pelas inundações 
conseqüentes do último período chuvoso.



Art. 
2º Os recursos decorrentes do crédito especial serão aplicados, por intermédio 
dos órgãos técnicos da Comissão do Vale do São Francisco, em benefício exclusivo 
da região atingida pelas inundações, no Estado de Minas Gerais.

Parágrafo único. 
A Comissão do Vale do São Francisco prestará contas no prazo de um ano, dos 
dinheiros recebidos, assim como, de sua aplicação.



Art. 
3º Será dada prioridade aos socorros de caráter imediato tais como restauração 
de habitações e fornecimento de semente e ferramentas para renovação das 
lavouras perdidas.



Art. 
4º Esta Lei entrará em vigor na data de sua publicação, revogadas as disposições 
em contrário.

Brasília, 23 de 
dezembro de 1963; 142º da Independência e 75º da República.

João Goulart

Ney Neves Galvão
Este texto não substitui o publicado no
DOU de 10.1.1964
*
 
 
 
 
 
 
"
"4.313, de 23.12.63
Publicada no DOU de 14.1.64";Dá nova discriminação às rodovias BR-55 e BR-66, do Plano Rodoviário Nacional.;63;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI Nº 4.313, DE 23 DE DEZEMBRO DE 1963.




Dá nova 
discriminação às rodovias BR-55 e BR-66, do Plano Rodoviário Nacional.



O PRESIDENTE DA 
REPÚBLICA, 
faço saber que o CONGRESSO NACIONAL decreta e eu sanciono a seguinte Lei:


Art. 
1º A BR-55 e a BR-66, do Plano Rodoviário Nacional - Lei número 2.975, de 27 de 
novembro de 1956 - passam a ter a seguinte discriminação:




BR-55 - São 
Paulo - Belo Horizonte - Itabira - Desembargador Drumond - Coronel Fabriciano - 
Governador Valadares.


BR-66 - Aracaju - Parapiranga - Ribeira do Pombal - Tucano - Santa Luz - Noventa - Capela - Mairi 
- Mundo Novo - Utinga - Seabra - Ibitiara - Macaúbas - Bom Jesus da Lapa - Sítio 
da Abadia - Brasília.




Art. 
2º A presente lei entrará em vigor na data de sua publicação, revogadas as 
disposições em contrário.

Brasília, em 23 
de dezembro de 1963; 142º da Independência e 75º da República.

João Goulart

Expedito Machado
Este texto não substitui o publicado no
DOU de 14.1.1964
*
 
 
 
 
 
 
 
"
"4.312, de 23.12.63
Publicada no DOU de 10.1.64";Concede a pensão mensal de Cr$ 30.000,00 (trinta mil cruzeiros) à Sra. Anna de Oliveira Almeida Gonsalves, viúva do Professor Archimendes de Siqueira Gonsalves.;63;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI Nº 4.312, DE 23 DE DEZEMBRO DE 1963.




Concede a 
pensão mensal de Cr$ 30.000,00 (trinta mil cruzeiros) à Sra. Anna de Oliveira 
Almeida Gonsalves, viúva do Professor Archimendes de Siqueira Gonsalves.



O PRESIDENTE DA 
REPÚBLICA, 
faço saber que o CONGRESSO NACIONAL decreta e eu sanciono a seguinte Lei:



Art. 
1º É concedida à senhora Anna de Oliveira Almeida Gonsalves, viúva do Professor 
Archimendes Siqueira Gonsalves, a pensão mensal de Cr$ 30.000,00 (trinta mil 
cruzeiros).



Art. 
2º A presente pensão não poderá ser acumulada com qualquer outra importância, a 
qualquer título recebida dos cofres públicos, autárquicos ou de sociedade de 
economia mista.



Art. 
3º Esta Lei entrará em vigor na data de sua publicação, revogadas as disposições 
em contrário.

Brasília, em 23 
de dezembro de 1963; 142º da Independência e 75º da República.

João Goulart

Ney Neves Galvão
Este texto não substitui o publicado no
DOU de 10.1.1964
*
 
 
 
 
 
 
"
"4.311, de 23.12.63
Publicada no DOU de 14.1.64";Autoriza o Poder Executivo a abrir o crédito especial de Cr$ 885.000.000,00 (oitocentos e oitenta e cinco milhões de cruzeiros), para construção de rêde de abastecimento d’água, em cidades do Estado de Santa Catarina.;63;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI Nº 4.311, DE 23 DE DEZEMBRO DE 1963.




Autoriza o 
Poder Executivo a abrir o crédito especial de Cr$ 885.000.000,00 (oitocentos e 
oitenta e cinco milhões de cruzeiros), para construção de rêde de abastecimento 
dágua, em cidades do Estado de Santa Catarina.



O PRESIDENTE DA 
REPÚBLICA, 
faço saber que o CONGRESSO NACIONAL decreta e eu sanciono a seguinte lei:



Art. 
1º É o Poder Executivo autorizado a abrir, a cargo da Superintendência do Plano 
de Valorização Econômica da Região Fronteira Sudoeste do País, o crédito 
especial de Cr$ 885.000.000,00, destinado à construção de rêde de abastecimento 
dágua, na seguinte proporção:





 


Cr$




Joaçaba e 
		Herval dOeste 
		



		60.000.000,00




Pôrto da 
		União e União da Vitória 
		



		70.000.000,00




Caçador 
		



		50.000.000,00




Chapecó 
		



		50.000.000,00




Videira 
		



		40.000.000,00




Xanxerê 



		40.000.000,00




Campos 
		Novos 
		



		40.000.000,00




Dionísio 
		Cerqueira e Barracão 
		



		40.000.000,00




Concórdia 
		



		30.000.000,00




Capinzal 
		e Ouro 
		



		30.000.000,00




Xaxim 
		



		30.000.000,00




São 
		Miguel dOeste 
		



		30.000.000,00




Tangará 
		



		20.000.000,00




Seara 
		



		20.000.000,00




Piratuba 



		20.000.000,00




São 
		Lourenço dOeste 
		



		15.000.000,00




Palmitos 
		



		15.000.000,00




Mondaí 



		15.000.000,00





		Itapiranga 



		15.000.000,00




Maravilha 
		



		15.000.000,00




Cunha 
		Porã 



		15.000.000,00




São 
		Carlos 
		



		15.000.000,00




Fraiburgo 



		15.000.000,00




Água Doce 
		



		10.000.000,00




Rio das 
		Antas, Salto Veloso, Abelardo Luz, Palma Sola, São José do Cedro, 
		Descanso, Ibicaré, Campo Erê, Itá, Pinheiro Prêto, Fachinal dos Guedes, 
		Quilombo, Coronel Freitas, Guaraciaba, Guarujá do Sul, Anchieta, Àguas 
		de Chapecó, Caxambu do Sul, Ponte Serraba, Ipumirim, Ipira, Piritiba, 
		Marari, Arroio Trinta, Matos Costa, Irineópolis, Herval Velho, 
		Catanduvas do Sul, Jaborá, Irani, Treze Tílias, Modêlo, Saudades, 
		Pinhalzinho, São Domingos e Galvão ................


 

 

 


		185.000.000,00






Art. 
2º Revogadas as disposições em contrário, esta lei entrará em vigor na data de 
sua publicação.

Brasília, 23 de 
dezembro de 1963; 142º da Independência e 75º da República

JOÃO GOULART

Ney Neves Galvão
Este texto não substitui o publicado no
DOU de 10.1.1964 e 
retificado em 14.1.1964
*
 
 
 
 
 
"
"4.310, de 23.12.63
Publicada no DOU de 14.1.64";Autoriza a abertura, pelo Ministério da Viação e Obras Públicas, do crédito especial de Cr$ 3.000.000.000,00 (três bilhões de cruzeiros), para execução de obras e serviços da Adutora do Rio das Velhas, em Belo Horizonte.;63;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI Nº 4.310, DE 23 DE DEZEMBRO DE 1963.




Autoriza a 
abertura, pelo Ministério da Viação e Obras Públicas, do crédito especial de 
Cr$ 3.000.000.000,00 (três bilhões de cruzeiros), para execução de obras e 
serviços da Adutora do Rio das Velhas, em Belo Horizonte.



O PRESIDENTE DA 
REPÚBLICA, 
faço saber que o CONGRESSO NACIONAL decreta e eu sanciono a seguinte lei:



Art. 
1º Fica o Poder Executivo autorizado a abrir, pelo Ministério da Viação e Obras 
Públicas, em favor do Departamento Nacional de Obras e Saneamento, o crédito 
especial de Cr$ 3.000.000.000,00 (três bilhões de cruzeiros), destinado a 
incrementar a marcha de execução das obras e serviços da Adutora do Rio das 
Velhas, para o abastecimento de água à cidade de Belo Horizonte, Estado de Minas 
Gerais.



Art. 
2º Esta lei entrará em vigor na data de sua publicação, revogadas as disposições 
em contrário.

Brasília, em 23 
de dezembro de 1963; 142º da Independência e 75º da República.

João Goulart

Ney Neves Galvão

Expedito Machado
Este texto não substitui o publicado no
DOU de 14.1.1964
*
 
 
 
 
 
"
"4.309, de 23.12.63
Publicada no DOU de 14.1.64";Provê sôbre a rescisão de concessão dos portos do Rio Grande do Sul, e dá outras providências.;63;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI Nº 4.309, DE 23 DE DEZEMBRO DE 1963.




Provê sôbre a rescisão de concessão dos portos do Rio Grande do 
Sul, e dá outras providências.



O PRESIDENTE DA REPÚBLICA, faço saber que 
o CONGRESSO NACIONAL decreta e eu sanciono a seguinte Lei:


Art. 1º Fica o Poder Executivo autorizado 
a rescindir, de pleno direito, e para todos os efeitos, o contrato de concessão 
celebrado com o Estado do Rio Grande do Sul, para exploração dos Portos de Pôrto 
Alegre, Pelotas e Rio Grande, nos têrmos desta lei.

§ 1º A partir da data do decreto executivo que declarar extinto o 
contrato, a exploração comercial e a industrial dos portos referidos passará nas 
suas atuais atividades, a ser exercida pela União, através do Departamento 
Nacional de Portos e Vias Navegáveis, utilizando tôdas as instalações portuárias 
e hidroviárias a êles vinculadas inclusive as da Barra do Rio Grande, e operando 
nos serviços de conservação dos molhes e canais dragagem e balizamento dos rios 
e lagoas.

§ 2º O decreto, de que trata o parágrafo anterior, designará desde 
logo o administrador provisório dos serviços transferidos.


Art. 2º O Estado do Rio Grande do Sul 
será indenizado em moeda corrente, do valor atualmente correspondente ao 
aparelhamento, obras, terrenos, instalações diversas e tudo mais que constituir 
o acêrvo do Departamento Estadual de Portos, Rios e Canais, o qual passará, 
mediante escritura pública em plena propriedade, ao domínio da União, uma vez 
satisfeito o pagamento do preço verificado.

§ 1º Para o fim de se proceder a apuração do valor dos bens, obras 
e serviços a serem transferidos à União, será designada, dentro de trinta dias, 
uma comissão de avaliação, constituída de um representante da União, nomeado 
pelo Ministro da Viação e Obras Públicas, um representante do Estado, nomeado 
pelo Governador, e um representante do Tribunal de Contas da União, os quais 
apresentarão o respectivo laudo a cada autoridade designante, dentro do prazo de 
seis meses, prorrogáveis por arbítrio e entendimento dos dois Governos.

§ 2º Em caso de serem ultrapassados os prazos estabelecidos ou de 
recusa de qualquer das pessoas de direito público em atender ao disposto nesta 
lei, sem se verificar a apuração prevista dos valores de avaliação, a parte 
prejudicada poderá recorrer ao arbitramento judicial ad-perpectuam
memoriam, para a cobertura jurídica de seus direitos, 
em eventual ação própria.   

§ 3º Na hipótese de que trata a parte final do parágrafo anterior, 
ou, em qualquer caso, havendo entendimento entre os dois Governos, o valor da 
indenização devida ao Estado, poderá ser encontrado, para efeito de liquidação, 
com os créditos válidos da União, suas autarquias ou entidades de economia 
mista, em virtude de operações de financiamento, adiantamentos ou suprimentos de 
créditos e recursos, a qualquer título e seja qual fôr o seu fundamento legal.


Art. 3º No prazo de 30 (trinta) dias, da 
vigência do ato de rescisão, o Presidente da República baixará decreto 
estruturando a organização e a administração dos portos e serviços transferidos 
à exploração e execução da União.

Parágrafo único. Se a forma de estruturação adotada fôr a 
autárquica, na forma do parágrafo 1º do art. 26 da Lei nº 4.213, de 14 de 
fevereiro de 1963. A sua administração ficará desde já autorizada a aceitar para 
a composição da respectiva receita, a contribuição do produto da taxa de 
transporte que lhe seja atribuída, de acôrdo com a lei local, pelo Estado do Rio 
Grande do Sul.


Art. 4º O pessoal a serviço, nesta data, 
do DEPRO passará a ser por efeito do decreto a que se refere o parágrafo 1º do 
art. 1º, incorporado ao sistema de classificação de cargos e funções do 
Departamento Nacional de Portos e Vias Navegáveis, sem prejuízo dos direitos e 
vantagens que lhe são atualmente assegurados, nos têrmos do Parágrafo único do 
art. 21 da Lei nº 4.213, de 14 de fevereiro de 1963.

§ 1º Ao Pessoal de que trata o artigo fica assegurado o direito de 
optar, dentro de sessenta dias, perante o Diretor Geral do DNPVN, pela situação 
de servidor estadual, continuando no exercício de suas funções, a critério do 
Estado, na qualidade de pessoal cedido.

§ 2º É vedada, a qualquer título, a transferência de servidores 
para outros portos, fora do Estado, do Rio Grande do Sul.


Art. 5º Fica o Poder Executivo autorizado 
a abrir, pelo Ministério da Viação e Obras Públicas, o crédito especial, em 
favor do Departamento Nacional de Portos e Vias Navegáveis, de 
Cr$ 1.000.000.000,00 (um bilhão de cruzeiros), para atender às despesas, no 
presente e no próximo exercício, com a execução do disposto nesta lei, devendo o 
mesmo ser automàticamente registrado no Tribunal de Contas da União e 
distribuído ao Tesouro Nacional.


Art. 6º Revogadas as disposições em 
contrário, esta lei entrará em vigor na data de sua publicação.

Brasília, em 23 de dezembro de 1963; 142º da Independência e 75º 
da República.

João Goulart

Ney Neves Galvão

Expedito Machado
Este texto não substitui o publicado no
DOU de 14.1.1964 e 
retificado em 16.1.1964
*
 
 
 
 
 
 
"
