lei;ementa;ano;inteiro_teor
"1.302, de 30.12.50
Publicada no DOU de 6.1.1951";Estabelece regras para o funcionamento de novas Bolsas de Valores.;1950;"


    Presidência da República
    

    Secretaria-Geral
    
Subchefia para Assuntos Jurídicos
	



	LEI 

	Nº 1.302, DE 
	30 DE 
DEZEMBRO DE
1950.
Estabelece regras para o funcionamento de novas 
Bolsas de Valores.


 Não 
		Remover
Texto compilado 
Texto atualizado 

Texto para impressão
		
Up
		
Down 





O 
	PRESIDENTE DA REPÚBLICA, 
	faço saber que o CONGRESSO NACIONAL decreta e eu sanciono a seguinte Lei:

Art. 1º É reconhecido 
	às Bolsas de Valores o direito de solicitar de suas congêneres, que, na 
	conformidade do art. 1º do Decreto-lei nº 9.783, de 6 de setembro de 1946, 
	houverem admitido à cotação ações e obrigações ao portador (debêntures), a 
	relação pormenorizada das sociedades emitentes, sediadas nas unidades da 
	Federação, onde funcionarem as solicitantes.

Art. 2º O não 
	atendimento do pedido dentro do prazo de sessenta (60) dias, contados da 
	data do seu recebimento pela destinatária, será, pela Bolsa de Valores 
	Interessada, comunicado ao Ministério da Fazenda que imporá à infratora a 
	multa diária de Cr$1.000,00 (um mil cruzeiros) pelo tempo que exceder o 
	prazo, até ser cumprido o disposto no art. 1º desta Lei.

Parágrafo único. O 
	produto dessas multas que serão recolhidas semanalmente constituirá receita 
	da Câmara Sindical de Corretores da Bolsa, que tiver direito às informações 
	mencionadas nesta Lei.

Art. 
	3º A presente Lei entrará em vigor na data da sua publicação, revogadas as 
	disposições em contrário.

Rio de Janeiro, 30 de dezembro de 1950; 129º da Independência 
	e 62º da República.

EURICO G. DUTRA

Guilherme da Silveira
Este texto não substitui o
publicado no DOU de 6.1.1951
 
 
 
 



Não remover!


"
"1.301, de 28.12.50
Publicada no DOU de 29.12.1950";Dispõe sôbre a organização judiciária do Distrito Federal.;1950;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI No 1.301, DE 28 DE 
DEZEMBRO DE
1950.




Dispõe sôbre 
	a organização judiciária do Distrito Federal.



    O 
PRESIDENTE DA REPÚBLICA, faço saber que o CONGRESSO NACIONAL decreta 


e eu 
sanciono a seguinte Lei:
    Art. 
1º A organização judiciária do Distrito Federal rege-se pelo 
Código de 
Organização Judiciária, vigente por efeito do
Decreto-lei número 8.527, de 31 de dezembro de 1945, com as modificações 
constantes desta lei.
    Art. 
2º A Justiça de primeira instância compõe-se de:
    a) 
sessenta juízes de direito com exercício: vinte e cinco nas Varas Criminais 
entre as quais se incluem a da presidência do Tribunal do Júri e a de execuções 
criminais; dezoito nas Varas Cíveis; seis nas Varas de Família; quatro nas Varas 
da Fazenda Pública; quatro nas Varas de Órfãos e Sucessões; um na Vara de 
Registros Públicos; um na Vara de Menores e um na Vara de Acidentes do Trabalho;
    b) 
quarenta e dois juízes substitutos, designados por números ordinais com 
exercício: um na 1ª Vara Criminal; outro, na Vara de Menores; outro no Serviço 
de Distribuição de Feitos e os demais nas Varas para que forem designados pelo 
Presidente do Tribunal de Justiça.
    Art. 
3º Cada uma das Varas de Direito será designada pela matéria da sua competência 
e distinguir-se-ão, entre si, as de competência igual, por números ordinais.
    Art. 
4º Ao juiz da Vara de Registros Públicos compete:
    I - 
Processar e julgar:
    a) 
as causas que diretamente visem atos dos Registros Públicos, exceto o Cível das 
Pessoas naturais;
    b) 
as de loteamento de imóveis, bem de família, usucapião, divisão e demarcação de 
terras, registro Torrens, hipoteca legal, exceto a que interessar a incapaz ou á 
Fazenda Pública, e as de natureza judicial;
    II 
- decidir as dúvidas opostas ou consultas feitas por oficial de registro 
público, exceto quando se tratar de execução de sentença de outro Juiz, ou o 
oficial fôr de registro civil de pessoa natural, ou do registro de distribuição 
de causas;
    III 
- processar os protestos, notificações, interpelações e vistorias, destinadas a 
servir de documento em causa de sua competência;
    IV 
- processar e julgar as suspeições opostas aos serventuários sujeitos à sua 
jurisdição e as medidas contra êles requeridas, exceto quando se tratar de 
execução de sentença de outro Juiz;
    V - 
aplicar aos serventuários sujeitos à sua jurisdição as penas disciplinares 
cabíveis, provocando a intervenção do Corregedor e do Ministério Público, quando 
o caso fôr de sua competência.
    VI 
- rubricar os livros dêsses serventuários e exigir-lhes, marcando-lhes prazos 
suficientes:
    a) 
a aquisição ou legalização dos livros que faltarem ou estivessem irregulares, 
podendo determinar de ofício, ou a requerimento de serventuário, a criação de 
novos, necessários à fiel execução da lei ou ao melhor funcionamento dos 
serviços e fixar-lhes o modêlo, se a lei fôr omissa;
    b) 
o pagamento dos emolumentos, impostos, selos e taxas pelos responsáveis, feita a 
comunicação à competente repartição fiscal, quando fôr o caso;
    c) 
a organização e boa guarda de seus arquivos;
    d) 
a restituição de custas indevidas ou excessivas;
    e) 
a prestação ou refôrço das fianças estabelecidas em lei;
    f) 
em geral, a emenda de erros, abusos ou omissões verificadas no desempenho das 
suas atribuições.
    Art. 
5º São criados os seguintes cargos:
    I - 
Sem ônus para os cofres públicos:
    a) 
quatro escrivães, sendo dois de Vara de Família e dois de Vara da Fazenda 
Pública;
    b) 
um depositário judicial, que será o 8º e ao qual caberá funcionar nos processos 
distribuídos aos dois ofícios da 4ª Vara da Fazenda Pública;
    c) 
um avaliador que servirá nos processo dessa vara;
    d) 
dois inventariantes judiciais, 3º e 4º, que exercerão as suas funções perante as 
Varas de Órfãos e Sucessões correspondentes às suas designações numéricas;
    e) 
um oficial do Registro de Distribuição;
    II 
- Pagos pelos cofres públicos:
    a) 
