lei;ementa;ano;inteiro_teor
"7.298 de 28.12.84
Publicada no DOU de 3.1.85";Autoriza o Poder Executivo a criar o Conselho Nacional de Vitivinicultura - CONAVIN, dispõe sobre o Plano Nacional da Vitivinicultura, o seguro e o preço mínimo da uva, e dá outras providências.;84;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




LEI Nº 7.298, DE 
28 DE DEZEMBRO DE 1984.


 

Autoriza o 
Poder Executivo a criar o Conselho Nacional de Vitivinicultura - CONAVIN, dispõe 
sobre o Plano Nacional da Vitivinicultura, o seguro e o preço mínimo da uva, e 
dá outras providências.



Faço saber que o
CONGRESSO NACIONAL decretou, o PRESIDENTE DA REPÚBLICA, nos termos do § 
2º do art. 59, da Constituição Federal, sancionou e eu MOACYR DALLA, PRESIDENTE 
do SENADO FEDERAL, nos termos do § 5º art. 59 da Constituição Federal, promulgo 
a seguinte Lei:


Art. 
1º - Fica o Poder Executivo autorizado a criar o Conselho Nacional de 
Vitivinicultura - CONAVIN e o Instituto Nacional de Vitivinicultura.

§ 1º - Compete ao 
CONAVIN a formulação e a coordenação da política nacional da uva, vinhos e 
derivados, consubstanciando-a no Plano Nacional da Vitivinicultura.

§ 2º - Dentre 
suas competências, o CONAVIN cuidará especialmente de:

a) propor a 
revisão da legislação vitivinícola, de modo a assegurar sempre a sua mais 
adequada atualização;

b) estabelecer 
normas de proteção à vitivinicultura nacional em todas as etapas de pesquisa, 
produção, industrialização e comercialização, para garantir a evolução 
qualitativa da uva, do vinho nacional e de seus derivados;

c) desenvolver 
programas visando à ampliação da vitivinicultura e do consumo da uva, vinhos, 
sucos e derivados, com destaque especial para a comercialização dos estoques 
existentes, estabelecendo, para tanto, um programa de estímulo à sua 
popularização, criando o hábito do consumo da uva, do vinho e do suco de uva, 
como componente alimentar;

d) instituir um 
sistema de identificação e controle de vinhos e derivados por região de origem e 
padrão específico de qualidade, caracterizando as aptidões enológicas típicas ou 
diferênciais;

e) fixar, para a 
safra seguinte, o preço mínimo da uva durante os meses de agosto a dezembro de 
cada ano, reajustável, em fevereiro, de acordo com os coeficientes estabelecidos 
pelas Obrigações Reajustáveis do Tesouro Nacional - ORTN;


f) propor normas 
à Comissão de financiamento da Produção - CFP para o financiamento, a garantia e 
a aquisição da safra de uva; (Vide Lei nº 7.628, de 
1987)

g) estabelecer um 
sistema de seguro para a produção da uva, através de fundo próprio, 
operacionalizado, em convênio, pelo Banco do Brasil S/A e bancos estatais, ou 
ainda através do setor de seguros existentes no País;

h) requisitar 
pessoal de entidades públicas, desde que de acordo com as respectivas 
administrações.


Art. 
2º - O CONAVIN será integrado pelos seguintes membros:

I - Ministro da 
Agricultura, que será seu Presidente;

II - Ministro da 
Indústria e do Comércio;

III - 
Ministro-Chefe da Secretaria de Planejamento da Presidência da República;

IV - Presidente 
do Banco Central do Brasil;

V - Presidente do 
Banco do Brasil S/A;

VI - Presidente 
da Comissão de Financiamento da Produção - CFP;

VII - Presidente 
da Empresa Brasileira de Pesquisa Agropecuária - EMBRAPA;

VIII - um 
representante de cada um dos três estados com maior produção de uvas, vinhos e 
derivados;

IX - um 
representante das Confederações Nacionais da Agricultura, da Indústria, do 
Comércio e dos Trabalhadores na Agricultura, na Indústria e no Comércio;

X - um 
representante da União Brasileira de Vitivinicultura - UVIBRA, da Federação das 
Cooperativas do Vinho do Rio Grande do Sul - FECOVINHO e dos Sindicatos de 
Vinhos e Bebidas do Rio Grande do Sul.

§ 1º - O CONAVIN 
poderá admitir outros membros, além dos relacionados neste artigo.

§ 2º - Os membros 
do CONAVIN poderão ser substituídos eventualmente por representantes designados 
pelos respectivos titulares.

§ 3º - Ao 
Presidente do CONAVIN caberá a sua representação ativa e passiva.

