lei;ementa;ano;inteiro_teor
"18.073, de 20.12.1927
Publicado no DOU, de 20.12.1927";Regulamenta o artigo unico do decreto legislativo n. 5.446, de 14 de janeiro de 1928;1927;"




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




DECRETO No 
18.073, DE 19 DE JANEIRO DE 1928








Revogado 
	pelo Decreto de 10.5.1991


Texto para impressão




Regulamenta o artigo unico do decreto legislativo n. 5.446, de 14 de janeiro de 
1928





O Presidente da Republica dos Estados Unidos do Brasil, para dar 
cumprimento ao que determina o artigo unico do decreto legislativo n. 5.446, de 
14 de janeiro de 1928,


DECRETA:


Art. 1º As vagas decorrentes do augmento para 245 do numero 
de capitães-tenentes do Corpo de Officiaes da Armada, serão preenchidas por 
officiaes do quadro ordinario.


Art. 2º O preenchimento dessas vagas será feito da seguinte 
fórma:

 a) 
pela inclusão, no quadro ordinario, de todos os capitães-tenentes do mesmo 
quadro que se acham aggregados;


b) 
pela promoção de 
primeiros tenentes do quadro ordinario que tenham satisfeito todos os requisitos 
da lei de promoções, em vigor.


Art. 3º Revogam-se as disposições em contrario.


Rio de Janeiro, 19 de janeiro de 1928, 107º da Independencia e 40º da Republica.


WASHINGTON LUIS P. DE SOUSA.
Arnaldo Siqueira Pinto da Luz.


Este texto 
não substitui o publicado no DOU, de 25.1.1928

 

 

 




Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos




DECRETO No 
18.073, DE 19 DE JANEIRO DE 1928




 




Regulamenta o artigo unico do decreto legislativo n. 5.446, de 14 de janeiro de 
1928





RAZÕES DE VETO


     A exigência do concurso para provimento de cargos de qualquer natureza tem 
como principal objectivo, a seleção rigorosa dos mais capazes, afim de que, 
nomeados estes para os logares vagos, fique o serviço público confiado a 
cidadãos que possam desenpenhar as respectivas funcções de modo condigno, com 
seguro proveito para administração do Estado.


     A despeito dos incovenitentes e senões que por vezes ocorreram na execução 
das provas, o concurso constitui inquestionavelmente o mais salutar processo 
para adotar o funccionalismo publico de elementos de real aptidão para o 
exercício dos diferentes cargos thecnicos ou administrativos. Não tem o 
concurso, portanto, o fim de apurar unicamente as habilitações dos concurrentes. 
O que pretende é verificar, em determinada época, entre os que estiverem em 
condições de concorrer, quaes os que merecem preferencia para a nomeação.


     Assim considerando, julgo que, salvo casos especiaes já previstos em leis 
ou regulamentos, não convem aos interesses pulicos a concessão de prazos para 
validade de concursos e ainda menos a prorrogação dos prazos estabelecidos pelas 
disposições em vigor nas hyphoteses acima alludidas.


     A presente resolução legislação determina no art. 1º, fique prorrogado por 
mais um anno o concurso feito em 1926 para provimento do cargo de pharmaceuticos 
sub-inspectores do Departamento Nacional de Saúde Pública.


     Facilmente se compreende que, para as vagas que se venham a dar no corrente 
anno, apareçam elementos novos que por quaesquer motivos não puderam concorrer 
em 1926, mas que se acham presentemente em melhores condições do que um 
candidato inseripto há dous annos e que já nessa epoca não logrou conquistar a a 
collocação desejada.


     Com mais força de razão so pode concluir pela incoveniência da medida 
constante do paragrapho único do art. 1º, portanto ahi se dispõe a prorrogação, 
por mais dous annos, de validade de um concurso para preenchimento de cargos 
que, por sua natureza, podem ser pleitados por grande número de jovens que 
anualmente se prepararam para esse e outros cargos modestos do quadro das 
repartições federaes.


     Refere-se o art. 2º da resolução legislativa à validade dos concursos para 
professor cathedrático nos institutos federaes, prestados na vigência do decreto 
n. 16.782 A, de 1925. Nesse caso especial, além da relevância das funcções do 
magistério que exigem uma cuidadosa verificação de capacidade didactica e de 
requisitos moraes, cumpre salientar que a restrição de idade estatuída pela 
vigente lei (art. 150 do decreto citado), impede, em absoluto, que em certa 
época se inscrevam candidatos que poderão concorrer legalmente mezes ou dias 
mais tarde; assim como permite a inscripção de concurrentes já próximos ao 
limite máximo da idade, concurrentes esses que dous annos depois já terão 
ultrapassado esse limite.


     A validade do concurso não convém, portanto, não só porque veda por dous 
annos o aparecimento de novos valores, mas porque também tornaria possível a 
nomeação de candidatos fora de idade que o legislador acertadamente limitou para 
quem se vae iniciar na carreira do alto magistério official.


     Quanto ao concurso para a Escola de Applicação no serviço de saúde do 
Exército julgo igualmente que se não justifica a prorrogação estatuida pelo art. 
3º da resolução legislativa em estudo.


     Trata-se, com affeito, de uma prova de admissão que deve ser repetida em 
todas as épocas de matricula, convindo notar ainda que a disposição do artigo 
viria beneficiar somente os pharmaceuticos, quando é certo que também concorrem 
médicos a prova alludida; e que está presentemente em realização o concurso para 
matrícula na dita escola, circunstancia que contribue para tornar embaraçosa a 
execução do disposto no referido art. 3º em face do direito adquirido pelos 
candidatos que ora se submettem às provas de admissão.


