lei;ementa;ano;inteiro_teor
"89.267, de 30.12.83
Publicado no DOU de 2.1.84";Altera a escolaridade para o ingresso na classe inicial de Auxiliar Operacional de Defesa Florestal.;1983;"


    Presidência da República
   

    Casa Civil
   

    Subchefia para Assuntos Jurídicos
   





    Decreto nº 89.267, de 30 de deZeMbro de 1983
   


   Altera a escolaridade para o ingresso na classe inicial de Auxiliar Operacional de Defesa Florestal.
  





      Texto compilado
     

      Texto atualizado
     



      Texto para impressão
     



      Ver mais ..
     



      Ocultar
     





    O PRESIDENTE DA REPÚBLICA
   
   , usando da atribuição que lhe confere o artigo 81, item III, da Constituição, e tendo em vista o disposto no artigo 7º da Lei nº 5.645, de 10 de dezembro de 1970,
  


    DECRETA:
   


   Art
   . 1º, No concurso público para o ingresso na classe A, de Auxiliar Operacional de Defesa Florestal, código: NM-1008 ou LT-NM-1008, será exigida a escolaridade da 6
   a
   série do ensino do 1º grau.
  

   Art
   . 2º, Este decreto entra em vigor na data de sua publicação, revogadas as disposições em contrário.
  

   Brasília, 30 de dezembro de 1983; 162º da Independência e 95º da República.
  

   JOÃO FIGUEIrEDO
  

   Angelo Amaury Stabile
  

   Este texto não substitui o
publicado no DOU de
   

   2.1.1984
  
"
"89.261, de 29.12.83
Publicado no DOU de 30.12.83";Fixa o valor tributável dos produtos do item 24.02.02.02 (cigarros) da TIPI e as margens brutas do fabricante e do varejista.;1983;"





Presidência
    da República
Casa Civil
Subchefia para Assuntos Jurídicos





DECRETO No 89.261, DE 29 DE DEZEMBRO DE 1983.




Revogado pelo 
	Decreto de 05.09.1991
Texto para 
	impressão



Fixa o valor tributável dos produtos do item 
	24.02.02.02 (cigarros) da TIPI e as margens brutas do fabricante e do 
	varejista.



O PRESIDENTE DA 
REPÚBLICA, 
usando da atribuição que lhe confere o artigo 81, item III, da Constituição, e 
tendo em vista o disposto no artigo 4º, item I e parágrafo único, do Decreto-lei 
nº 1.593, de 21 de dezembro de 1977,



         
DECRETA:

Art. 1º No 
exercício financeiro de 1984, o valor tributável do imposto sobre produtos 
industrializados (IPI) para os produtos do item 24.02.02.02 (cigarros feitos por 
processos mecânicos), da Tabela anexa ao
Decreto nº 84.338, de 26 de dezembro
de 1979, é de 17,4536696% sobre o preço de venda a varejo, que fica 
assim decomposto:

a) IPI - 
63,815852%;

b) margem bruta 
do fabricante, inclusive ICM - 20,827243%;

c) margem bruta 
do varejista, inclusive ICM - 11,000000;

d) ICM relativo a 
1/3 do IPI (artigo 
2º da Emenda Constitucional nº 23, de 1º de dezembro de 1983) - 4,356905%.

Art. 2º O 
disposto no artigo anterior não se aplica às operações realizadas no exercício 
de 1984 com os produtos cuja saída do estabelecimento industrial ocorrer até 31 
de dezembro de 1983, em face da exigência de marcação, peso fabricante, do preço 
de venda desses produtos no varejo.

Art. 3º Este 
Decreto entrará em vigor na data de sua publicação.

Brasília, em 29 
de dezembro de 1983; 162º da Independência e 95º da República.

JOÃO FIGUEIREDO
Ernane Galvêas
Este texto não 
substitui o publicado no DOU de 30.12.1983
"
"89.260, de 28.12.83
